file,route,category,bytes,noindex,indexable,robots,title,title_chars,description_chars,canonical,canonical_target_route,self_canonical,canonical_target_exists,canonical_target_noindex,h1_count,h1,main_words,paragraphs,h2_count,internal_links_raw,external_links,main_internal_links_raw,main_external_links,inlinks_all,inlinks_from_indexable,main_inlinks_all,main_inlinks_from_indexable,images,images_missing_alt,images_missing_dimensions,youtube_images,iframes,schema_types,schema_errors,article_schema,video_schema,faq_schema,job_schema,authors,date_published,date_modified,hidden_attr_nodes,hidden_attr_words,css_permanent_hidden_nodes,css_permanent_hidden_words,css_tab_hidden_words,title_page_nav_css_hidden,in_sitemap,in_news_sitemap
movie/reservoir-dogs/index.html,/movie/reservoir-dogs/,movie,19796,False,True,,"Reservoir Dogs (1992) | Cast, Trailer & Where to Watch | BRYME",62,145,https://bryme.onrender.com/movie/reservoir-dogs/,/movie/reservoir-dogs/,True,True,False,1,Reservoir Dogs,427,12,5,61,10,20,10,20,19,20,19,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,49,2,17,24,True,True,False
movie/return-of-the-jedi/index.html,/movie/return-of-the-jedi/,movie,19775,False,True,,Star Wars: Return of the Jedi (1983) | BRYME,44,125,https://bryme.onrender.com/movie/return-of-the-jedi/,/movie/return-of-the-jedi/,True,True,False,1,Star Wars: Return of the Jedi,437,11,5,61,8,20,8,9,7,9,7,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""VideoObject""]",0,0,1,0,0,[],[],[],3,63,2,17,29,True,True,False
movie/robocop/index.html,/movie/robocop/,movie,19917,False,True,,"RoboCop (1987) | Cast, Trailer & Where to Watch | BRYME",55,144,https://bryme.onrender.com/movie/robocop/,/movie/robocop/,True,True,False,1,RoboCop,448,13,5,61,10,20,10,15,14,15,14,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,63,2,16,24,True,True,False
movie/rocky-2/index.html,/movie/rocky-2/,movie,19566,False,True,,"Rocky II (1979) | Cast, Trailer & Where to Watch | BRYME",56,132,https://bryme.onrender.com/movie/rocky-2/,/movie/rocky-2/,True,True,False,1,Rocky II,418,14,5,61,10,20,10,8,7,8,7,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,53,2,16,20,True,True,False
movie/rocky/index.html,/movie/rocky/,movie,19659,False,True,,"Rocky (1976) | Cast, Trailer & Where to Watch | BRYME",53,152,https://bryme.onrender.com/movie/rocky/,/movie/rocky/,True,True,False,1,Rocky,419,14,5,61,10,20,10,8,6,8,6,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,54,2,16,21,True,True,False
movie/rogue-one-a-star-wars-story/index.html,/movie/rogue-one-a-star-wars-story/,movie,20837,False,True,,Rogue One: A Star Wars Story (2016) | Cast & Trailer | BRYME,60,154,https://bryme.onrender.com/movie/rogue-one-a-star-wars-story/,/movie/rogue-one-a-star-wars-story/,True,True,False,1,Rogue One: A Star Wars Story,492,18,6,61,10,20,10,30,29,30,29,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,61,2,15,24,True,True,False
movie/rrr/index.html,/movie/rrr/,movie,21117,False,True,,"RRR (2022) | Cast, Trailer & Where to Watch | BRYME",51,154,https://bryme.onrender.com/movie/rrr/,/movie/rrr/,True,True,False,1,RRR,557,15,6,64,5,23,5,29,27,29,27,12,0,1,10,0,"[""Article"",""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,1,1,0,0,[],[],[],3,50,2,15,27,True,True,False
movie/run-lola-run/index.html,/movie/run-lola-run/,movie,20443,False,True,,"Run Lola Run (1998) | Cast, Trailer & Where to Watch | BRYME",60,149,https://bryme.onrender.com/movie/run-lola-run/,/movie/run-lola-run/,True,True,False,1,Run Lola Run,481,15,6,61,10,20,10,10,7,10,7,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,70,2,16,24,True,True,False
movie/sairat/index.html,/movie/sairat/,movie,13697,False,True,,Sairat (2016) | Cast & Trailer | BRYME,38,127,https://bryme.onrender.com/movie/sairat/,/movie/sairat/,True,True,False,1,Sairat,151,3,0,51,3,10,3,10,9,10,9,7,0,1,2,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],2,20,2,12,16,True,True,False
movie/sakamoto-days/index.html,/movie/sakamoto-days/,movie,955,True,False,"noindex,follow",Sakamoto Days has moved | BRYME,31,62,https://bryme.onrender.com/anime/sakamoto-days/,/anime/sakamoto-days/,False,True,False,1,Sakamoto Days has moved,17,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],[],[],0,0,0,0,0,False,False,False
movie/samurai-champloo/index.html,/movie/samurai-champloo/,movie,976,True,False,"noindex,follow",Samurai Champloo has moved | BRYME,34,65,https://bryme.onrender.com/anime/samurai-champloo/,/anime/samurai-champloo/,False,True,False,1,Samurai Champloo has moved,17,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],[],[],0,0,0,0,0,False,False,False
movie/saw/index.html,/movie/saw/,movie,19789,False,True,,"Saw (2004) | Cast, Trailer & Where to Watch | BRYME",51,152,https://bryme.onrender.com/movie/saw/,/movie/saw/,True,True,False,1,Saw,432,14,5,61,10,20,10,15,14,15,14,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,57,2,17,24,True,True,False
movie/scarface/index.html,/movie/scarface/,movie,19242,False,True,,"Scarface (1983) | Cast, Trailer & Where to Watch | BRYME",56,136,https://bryme.onrender.com/movie/scarface/,/movie/scarface/,True,True,False,1,Scarface,403,13,5,61,10,20,10,7,5,7,5,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,47,2,18,15,True,True,False
movie/scary-movie-2026/index.html,/movie/scary-movie-2026/,movie,14914,False,True,,"Scary Movie (2026) | Cast, Trailer & Where to Watch | BRYME",59,151,https://bryme.onrender.com/movie/scary-movie-2026/,/movie/scary-movie-2026/,True,True,False,1,Scary Movie,343,10,4,50,4,9,4,1,1,1,1,3,0,1,3,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],2,20,2,12,25,True,True,False
movie/scream-7/index.html,/movie/scream-7/,movie,15873,False,True,,"Scream 7 (2026) | Cast, Trailer & Where to Watch | BRYME",56,148,https://bryme.onrender.com/movie/scream-7/,/movie/scream-7/,True,True,False,1,Scream 7,400,10,4,51,4,10,4,1,1,1,1,4,0,1,4,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],2,20,2,12,34,True,True,False
